isDGA,domain,host,subclass
legit,watchlivestreaming,watchlivestreaming.pw,legit
dga,x0mwvp4kc3l76hkk7lud7jgm,x0mwvp4kc3l76hkk7lud7jgm.com,gameoverdga
dga,alhcqvdxrgjcfrd,alhcqvdxrgjcfrd.ru,cryptolocker
legit,btc38,btc38.com,alexa
legit,sunnyleone,sunnyleone.com,alexa
dga,gv0dy81xurl0v9bat9u1mn2efc,gv0dy81xurl0v9bat9u1mn2efc.com,newgoz
legit,folhadirigida,folhadirigida.com.br,alexa
dga,kodxligupdvpslw,kodxligupdvpslw.ru,cryptolocker
dga,vhhbcsmlyign,vhhbcsmlyign.info,cryptolocker
legit,monova,monova.org,alexa
dga,jyeiopaqwogwo,jyeiopaqwogwo.net,cryptolocker
legit,playtube,playtube.pk,legit
legit,gry-dladzieci,gry-dladzieci.org,legit
dga,vdbfkelvsedcspaj,vdbfkelvsedcspaj.tv,necurs
dga,uponfloor,uponfloor.net,nivdort
dga,lhdplbcybqfupxuckjwfqydl,lhdplbcybqfupxuckjwfqydl.ru,goz
legit,goodmenproject,goodmenproject.com,alexa
legit,lever,lever.co,alexa
dga,milkstate,milkstate.net,nivdort
legit,baimao,baimao.com,alexa
dga,xx8mwf7t1tzw1cth11htuigxz,xx8mwf7t1tzw1cth11htuigxz.org,newgoz
legit,relatieplanet,relatieplanet.nl,legit
legit,6ifang,6ifang.com,alexa
dga,dutycould,dutycould.net,nivdort
dga,septembercolor,septembercolor.net,nivdort
legit,011info,011info.com,legit
legit,analytics,analytics.blogspot.com,alexa
legit,mercurymagazines,mercurymagazines.com,legit
dga,1gkszam1kvc0rl1vviz5x1m635fd,1gkszam1kvc0rl1vviz5x1m635fd.org,newgoz
dga,biugmqqztljntnamjzay,biugmqqztljntnamjzay.ru,goz
legit,indemandads,indemandads.com,legit
legit,docker,docker.com,alexa
dga,mcxexmsaoiqy,mcxexmsaoiqy.ru,cryptolocker
legit,qiyipic,qiyipic.com,legit
dga,fhhhdjulhktyct,fhhhdjulhktyct.ru,cryptolocker
dga,4stda610jgrpw1lx0lcejbtqi6,4stda610jgrpw1lx0lcejbtqi6.biz,newgoz
dga,1bvczp1h9nvinqv0no1e9rulm,1bvczp1h9nvinqv0no1e9rulm.net,gameoverdga
legit,actiris,actiris.be,legit
legit,podaj,podaj.to,alexa
dga,8vgtk61h3htzl7kyk06kvemm0,8vgtk61h3htzl7kyk06kvemm0.com,newgoz
dga,73c468598d9ca146ba020dc347da26ce,73c468598d9ca146ba020dc347da26ce.org,bamital
legit,theseojobs,theseojobs.com,legit
dga,ddnymbsxugiek,ddnymbsxugiek.eu,necurs
legit,togoon,togoon.com,alexa
dga,gaavkkvlnydmbibhbuqglbcmivjb,gaavkkvlnydmbibhbuqglbcmivjb.ru,goz
dga,tlpspwrsgxglh,tlpspwrsgxglh.tw,necurs
dga,fqnyonvlwuulth,fqnyonvlwuulth.ru,cryptolocker
dga,pvlanonneocjkut,pvlanonneocjkut.ru,cryptolocker
dga,nhbelcbtvnxp,nhbelcbtvnxp.ru,cryptolocker
dga,xpgthbejlspbml,xpgthbejlspbml.ru,cryptolocker
dga,dnjelloqbpmbtrw,dnjelloqbpmbtrw.co.uk,cryptolocker
legit,gt3themes,gt3themes.com,alexa
legit,bhd,bhd.com.do,alexa
legit,17track,17track.net,alexa
legit,kaheel7,kaheel7.com,legit
legit,vietnamnettv,vietnamnettv.vn,legit
legit,5617,5617.com,alexa
dga,6f1omh12pa6141twirmpnuxwyd,6f1omh12pa6141twirmpnuxwyd.org,newgoz
dga,weiatcwjpnrl,weiatcwjpnrl.ru,cryptolocker
dga,9n31jzaomdaaqpycajfmg9x6,9n31jzaomdaaqpycajfmg9x6.net,gameoverdga
dga,qsbklqmqalkb,qsbklqmqalkb.ru,cryptolocker
legit,tupalo,tupalo.com,alexa
legit,credit-du-nord,credit-du-nord.fr,legit
dga,yyjihukvgbaemjk,yyjihukvgbaemjk.ru,cryptolocker
dga,1jg59xaon3jrx1rgyhvp1j706ny,1jg59xaon3jrx1rgyhvp1j706ny.net,newgoz
legit,fivefourclothing,fivefourclothing.com,alexa
legit,pokupon,pokupon.by,legit
dga,l2cmhylod39j20y7331vxrqbe,l2cmhylod39j20y7331vxrqbe.com,newgoz
legit,fuskator,fuskator.com,alexa
dga,490e8d1709bc63f60f7ef688aba9dbad,490e8d1709bc63f60f7ef688aba9dbad.org,bamital
dga,garwnpmbbubuk,garwnpmbbubuk.biz,cryptolocker
legit,sketchucation,sketchucation.com,legit
legit,printcarrier,printcarrier.com,legit
legit,wallpaperweb,wallpaperweb.org,legit
legit,navegalo,navegalo.com,legit
dga,bnofnqxxvqwag,bnofnqxxvqwag.ru,cryptolocker
dga,rbjhpxyargxkf,rbjhpxyargxkf.ru,cryptolocker
legit,fiat,fiat.com.br,alexa
dga,raemuetqgwvxdow,raemuetqgwvxdow.ru,cryptolocker
dga,tgoewkyqbvokbsg,tgoewkyqbvokbsg.biz,cryptolocker
dga,pfluopnryeqkqczhucml,pfluopnryeqkqczhucml.ru,goz
legit,serverpronto,serverpronto.com,legit
legit,mineshafter,mineshafter.info,legit
legit,clickzacademy,clickzacademy.com,legit
legit,goldencorral,goldencorral.net,legit
legit,foxydeal,foxydeal.in,legit
legit,support-ar,support-ar.com,legit
dga,nwbemvqbwpcbp,nwbemvqbwpcbp.ru,cryptolocker
legit,entel,entel.cl,alexa
legit,nomadicsamuel,nomadicsamuel.com,alexa
legit,quinnipiac,quinnipiac.edu,legit
legit,school,school.nz,alexa
dga,xtejgblwcvme,xtejgblwcvme.ru,cryptolocker
legit,drf,drf.com,alexa
legit,100order,100order.com,legit
legit,rockettab,rockettab.com,alexa
legit,clearcarrental,clearcarrental.com,alexa
dga,lkggudptyqvovj,lkggudptyqvovj.ru,cryptolocker
legit,zootubehere,zootubehere.com,legit
dga,sykljqextseg,sykljqextseg.ru,cryptolocker
legit,thesocialsexnetwork,thesocialsexnetwork.com,legit
legit,byethost7,byethost7.com,alexa
dga,jpocpgrkytlok,jpocpgrkytlok.ru,cryptolocker
dga,dykjnzxuoqshwoduxcxtghijftw,dykjnzxuoqshwoduxcxtghijftw.ru,goz
dga,mqeesbijsfow,mqeesbijsfow.ru,cryptolocker
legit,grabpussy,grabpussy.com,alexa
dga,14glmus1cu8hv81jb5y9zsldt3l,14glmus1cu8hv81jb5y9zsldt3l.com,newgoz
legit,datatrans,datatrans.biz,alexa
dga,ucrfmfqkytbqcuortcibhdadwg,ucrfmfqkytbqcuortcibhdadwg.ru,goz
legit,vkusnyblog,vkusnyblog.ru,legit
dga,rgdromrowccymfpskqgmthij,rgdromrowccymfpskqgmthij.ru,goz
dga,zllemrmbpplbhiwkypknxo,zllemrmbpplbhiwkypknxo.ru,goz
dga,duqjpoilbwvb,duqjpoilbwvb.ru,cryptolocker
dga,fiunnl1jkm95o1fjqmm7sam4ar,fiunnl1jkm95o1fjqmm7sam4ar.biz,gameoverdga
legit,galiciae,galiciae.com,legit
legit,equifax,equifax.com,alexa
legit,hung-ya,hung-ya.com,legit
legit,sampoernatelekom,sampoernatelekom.com,legit
legit,nobelprize,nobelprize.org,alexa
legit,theamericanrecoveryplanhelp,theamericanrecoveryplanhelp.com,legit
legit,4ormat,4ormat.com,alexa
legit,gametug,gametug.com,legit
legit,abnehmen,abnehmen.net,legit
dga,iouirnamevwmy,iouirnamevwmy.ru,cryptolocker
dga,tvgqfuddlcom,tvgqfuddlcom.ru,cryptolocker
dga,7e844f204c451a0d2f5e591036da3ccb,7e844f204c451a0d2f5e591036da3ccb.org,bamital
legit,m-audio,m-audio.fr,legit
legit,webnewcredit,webnewcredit.name,alexa
dga,17pezwh1vzgc7b1bt4ygl1vhg2si,17pezwh1vzgc7b1bt4ygl1vhg2si.com,newgoz
legit,0427d7,0427d7.se,alexa
dga,veuvsu71extg3mani11vhnw3w,veuvsu71extg3mani11vhnw3w.com,newgoz
legit,workbloom,workbloom.com,legit
legit,anglaisfacile,anglaisfacile.com,alexa
legit,tagheuer,tagheuer.com,alexa
legit,pinaccesscode,pinaccesscode.com,legit
dga,tskjkvtwcmmnlplxsijcirwbm,tskjkvtwcmmnlplxsijcirwbm.ru,goz
legit,chinafloor,chinafloor.cn,alexa
dga,ae53it3opknnt9pdp5oiap4,ae53it3opknnt9pdp5oiap4.org,newgoz
legit,jsgoal,jsgoal.jp,alexa
dga,kqtldhglteprft,kqtldhglteprft.ru,cryptolocker
legit,reminderfox,reminderfox.org,legit
dga,anwotcmdxscbq,anwotcmdxscbq.tv,necurs
dga,1rjo54lybp4mi1271bj7gbwmgr,1rjo54lybp4mi1271bj7gbwmgr.com,newgoz
legit,dirbroker,dirbroker.com,legit
legit,phpjavascriptroom,phpjavascriptroom.com,alexa
legit,sidebar,sidebar.io,legit
dga,vvrcselmjncvpaq,vvrcselmjncvpaq.ru,cryptolocker
legit,maidoutuan,maidoutuan.com,legit
dga,4qu8akk5y3hl18cfvswwem00w,4qu8akk5y3hl18cfvswwem00w.net,gameoverdga
dga,njgdssuqnhnecw,njgdssuqnhnecw.net,cryptolocker
dga,sjqhohcpyivgc,sjqhohcpyivgc.ru,cryptolocker
dga,bqsiotvpe,bqsiotvpe.nf,necurs
dga,adxumtcoxpva,adxumtcoxpva.ru,cryptolocker
dga,1grl1p712cm3hp1e3o3i85pdzow,1grl1p712cm3hp1e3o3i85pdzow.com,gameoverdga
dga,1c74ypq1ty5150ib5rcx10sxf78,1c74ypq1ty5150ib5rcx10sxf78.biz,gameoverdga
legit,eoeandroid,eoeandroid.com,alexa
legit,mobilfunk-talk,mobilfunk-talk.de,legit
legit,scallywagandvagabond,scallywagandvagabond.com,legit
legit,darkmoney,darkmoney.cc,alexa
legit,topuniversities,topuniversities.com,alexa
legit,oneclickchicks,oneclickchicks.com,alexa
legit,ido,ido.com.tr,alexa
legit,tennisexplorer,tennisexplorer.com,alexa
legit,siteencore,siteencore.com,alexa
legit,targetimg1,targetimg1.com,legit
dga,fvhspbrhovosl,fvhspbrhovosl.ru,cryptolocker
legit,jff,jff.info,alexa
dga,kyhvvqigiirt,kyhvvqigiirt.ru,cryptolocker
dga,mvpcaikoaqibuyhnskxzvc,mvpcaikoaqibuyhnskxzvc.ru,goz
dga,iyij3o1rsdsew1m4ww5x18cut7e,iyij3o1rsdsew1m4ww5x18cut7e.org,gameoverdga
dga,watchpast,watchpast.net,nivdort
dga,zkvnffumfgicygenbirhusfe,zkvnffumfgicygenbirhusfe.ru,goz
legit,10006016,10006016.ir,legit
legit,localslags,localslags.co.uk,legit
legit,dramaq,dramaq.org,alexa
dga,ssiaqtqjinciik,ssiaqtqjinciik.ru,cryptolocker
dga,mostthank,mostthank.net,nivdort
legit,loquax,loquax.co.uk,alexa
dga,nqixjfmbnugc,nqixjfmbnugc.ru,cryptolocker
dga,jumpcolor,jumpcolor.net,nivdort
dga,g533eznxc6j28tehbn186rdzi,g533eznxc6j28tehbn186rdzi.com,gameoverdga
legit,fashionsnap,fashionsnap.com,alexa
dga,xdolhojdxxgmmq,xdolhojdxxgmmq.ru,cryptolocker
dga,tpsfddktwern,tpsfddktwern.ru,cryptolocker
dga,vwtgiiduws,vwtgiiduws.net,necurs
legit,onlinesheetmusic,onlinesheetmusic.com,legit
legit,taizhou,taizhou.com.cn,legit
dga,songeight,songeight.net,nivdort
dga,sjpousrimcsrgse,sjpousrimcsrgse.ru,cryptolocker
dga,cniknslnrtrvuq,cniknslnrtrvuq.ru,cryptolocker
dga,rinphge9bk6nsw8lfmzpyzcr,rinphge9bk6nsw8lfmzpyzcr.org,newgoz
dga,xlmhiuvtgpsceiu,xlmhiuvtgpsceiu.ru,cryptolocker
dga,goaekpegvhith,goaekpegvhith.ru,cryptolocker
legit,oaed,oaed.gr,alexa
legit,gardaland,gardaland.it,legit
dga,1jlxezvpiwlfykuacvz1282teb,1jlxezvpiwlfykuacvz1282teb.org,newgoz
dga,cfifatfgvabgoqn,cfifatfgvabgoqn.info,cryptolocker
legit,bootstrapmaster,bootstrapmaster.com,alexa
legit,wdgserv,wdgserv.com,legit
legit,webresourcesdepot,webresourcesdepot.com,alexa
legit,acquirethisname,acquirethisname.com,legit
dga,1trowa31wenx4bngn2t11dc0o4a,1trowa31wenx4bngn2t11dc0o4a.org,newgoz
legit,blogcrowds,blogcrowds.com,alexa
legit,imslp,imslp.org,alexa
legit,banglagamer,banglagamer.com,legit
legit,viafacil,viafacil.com.br,legit
dga,uofxhjwoeyiv,uofxhjwoeyiv.pw,necurs
dga,nogtbkrrsqtd,nogtbkrrsqtd.ru,cryptolocker
dga,kvdabspfraumim,kvdabspfraumim.co.uk,cryptolocker
legit,greenmomsnetwork,greenmomsnetwork.com,legit
dga,1a3lnx65730vjzs79621d36cbh,1a3lnx65730vjzs79621d36cbh.biz,newgoz
dga,headgreen,headgreen.net,nivdort
legit,extremefreecoupons,extremefreecoupons.com,legit
legit,dowjones,dowjones.com,alexa
dga,lteqbpqploaiio,lteqbpqploaiio.co.uk,cryptolocker
legit,kanqiu,kanqiu.tv,alexa
dga,kyutwbjhpvhv,kyutwbjhpvhv.info,cryptolocker
legit,yunbei,yunbei.com,alexa
legit,suomi24,suomi24.fi,alexa
dga,k5mepv1rrtkzahsjtnx1kx7dcq,k5mepv1rrtkzahsjtnx1kx7dcq.net,newgoz
legit,shellsmart,shellsmart.gr,legit
legit,ec-current,ec-current.com,legit
dga,uwdetgfalpduqsqwojypalzhinib,uwdetgfalpduqsqwojypalzhinib.ru,goz
legit,shopex,shopex.cn,alexa
legit,theysmell,theysmell.com,alexa
legit,fivedhandover,fivedhandover.info,alexa
dga,1gg9wqj128gx91yqiky1qdo5ad,1gg9wqj128gx91yqiky1qdo5ad.net,gameoverdga
legit,interkassa,interkassa.com,alexa
dga,wrongsuch,wrongsuch.net,nivdort
dga,ashhymxerdndim,ashhymxerdndim.ru,cryptolocker
legit,adultsearch,adultsearch.com,alexa
dga,klmrmyevcedimbg,klmrmyevcedimbg.ru,cryptolocker
legit,branded3,branded3.com,alexa
dga,pjkbwltxsmnyu,pjkbwltxsmnyu.su,necurs
dga,106cfof7si619wujx58jgwrii,106cfof7si619wujx58jgwrii.org,newgoz
dga,pcqmnpcrthhkg,pcqmnpcrthhkg.ru,cryptolocker
legit,khophanmem,khophanmem.vn,legit
dga,1taxficb4xvmw1ra5cxokeclq4,1taxficb4xvmw1ra5cxokeclq4.org,newgoz
dga,ejavvmjttqprkbi,ejavvmjttqprkbi.ru,cryptolocker
dga,mxoxevdbyrsxrw,mxoxevdbyrsxrw.ru,cryptolocker
dga,wueklvpxiqyohw,wueklvpxiqyohw.ru,cryptolocker
dga,njtlukmfkeiqgc,njtlukmfkeiqgc.ru,cryptolocker
legit,compumac,compumac.com.co,legit
legit,conversion,conversion.com.br,alexa
legit,dumedia,dumedia.ru,legit
legit,lesscdn,lesscdn.com,legit
dga,septemberconsiderable,septemberconsiderable.net,nivdort
legit,webs,webs.com,alexa
dga,jasvqabbwdxvbbr,jasvqabbwdxvbbr.org,cryptolocker
dga,ogqkatcefveqtk,ogqkatcefveqtk.net,cryptolocker
legit,icomnow,icomnow.com,legit
dga,wentslept,wentslept.net,nivdort
legit,rezultati,rezultati.com,alexa
legit,jennymovies,jennymovies.com,legit
legit,chinatimes,chinatimes.com,alexa
legit,adserverplus,adserverplus.com,legit
legit,effiliation,effiliation.com,alexa
legit,abraham-hicks,abraham-hicks.com,legit
legit,allobebe,allobebe.fr,alexa
dga,fornlahxtxutbe,fornlahxtxutbe.ru,cryptolocker
legit,convertmemp3,convertmemp3.com,alexa
legit,escoladinheiro,escoladinheiro.com,alexa
dga,wishfive,wishfive.net,nivdort
dga,twvklxwoytubt,twvklxwoytubt.ru,cryptolocker
dga,ykqibuocwuplych,ykqibuocwuplych.co.uk,cryptolocker
legit,propwall,propwall.my,alexa
dga,spokethrew,spokethrew.net,nivdort
dga,ttjbqisgepupm,ttjbqisgepupm.so,necurs
dga,yepluxdagggyqeo,yepluxdagggyqeo.ru,cryptolocker
legit,chinavisual,chinavisual.com,legit
dga,cxyppxwtlybx,cxyppxwtlybx.net,cryptolocker
dga,mgkvwqwrgqxfqyd,mgkvwqwrgqxfqyd.ru,cryptolocker
dga,1jij7jk1iklaihde6pz04e9xlp,1jij7jk1iklaihde6pz04e9xlp.com,gameoverdga
legit,kron4,kron4.com,alexa
legit,ploko,ploko.net,alexa
dga,17pyqwt1nzai3g17r0oralmynyx,17pyqwt1nzai3g17r0oralmynyx.net,gameoverdga
legit,proquest,proquest.com,alexa
dga,1seq7rxzxs11t15t9jgu1g61rlm,1seq7rxzxs11t15t9jgu1g61rlm.com,gameoverdga
legit,todojuegosgratis,todojuegosgratis.es,legit
legit,onlinechatcenters,onlinechatcenters.com,alexa
legit,fishretail,fishretail.ru,legit
legit,mkazanc,mkazanc.com,legit
legit,e-senukai,e-senukai.lt,legit
dga,uucoqrunvfdmi,uucoqrunvfdmi.ru,cryptolocker
legit,pwinsider,pwinsider.com,alexa
legit,yumyume,yumyume.com,legit
legit,dynadot,dynadot.com,alexa
legit,chat-land,chat-land.org,legit
dga,qo97fsp2h6s41r62f9ms68zxw,qo97fsp2h6s41r62f9ms68zxw.net,gameoverdga
dga,1kanvx1y866ju2vt8sftuqhq,1kanvx1y866ju2vt8sftuqhq.org,gameoverdga
dga,mouuhjvusgfowv,mouuhjvusgfowv.bz,necurs
dga,xkytkntonbwcvcqseuzxhwkhiylzt,xkytkntonbwcvcqseuzxhwkhiylzt.ru,goz
legit,almashhad-alyemeni,almashhad-alyemeni.com,legit
legit,joinwebinar,joinwebinar.com,legit
dga,dsqxqwtuajqhpn,dsqxqwtuajqhpn.ru,cryptolocker
dga,kirywkjxasmdsj,kirywkjxasmdsj.ru,cryptolocker
dga,deqmjtgwdhxusojlvydyxtcvcai,deqmjtgwdhxusojlvydyxtcvcai.ru,goz
dga,1r37ftz1f0xzd7spgca11behcp8,1r37ftz1f0xzd7spgca11behcp8.org,newgoz
dga,ucudcfqspemwy,ucudcfqspemwy.ru,cryptolocker
dga,jttxhngtjmlcqrp,jttxhngtjmlcqrp.ru,cryptolocker
dga,16ipcr613ef54j1byep3t2325k3,16ipcr613ef54j1byep3t2325k3.biz,gameoverdga
dga,rbymfrgutsrkb,rbymfrgutsrkb.ru,cryptolocker
legit,wmata,wmata.com,alexa
dga,signsleep,signsleep.net,nivdort
dga,uqbwmsvlmrjm,uqbwmsvlmrjm.ru,cryptolocker
dga,threedare,threedare.net,nivdort
dga,tordqsrwmfdyhidprtodyytqw,tordqsrwmfdyhidprtodyytqw.ru,goz
legit,troll-face,troll-face.ru,legit
legit,antenne,antenne.de,alexa
dga,9db64ed8957725adbb86268f29d18cda,9db64ed8957725adbb86268f29d18cda.org,bamital
dga,1qlm5a1v3u53bmkapj52u1dc4,1qlm5a1v3u53bmkapj52u1dc4.com,gameoverdga
legit,idesignow,idesignow.com,legit
legit,pornbusters,pornbusters.to,alexa
legit,poemas-del-alma,poemas-del-alma.com,legit
dga,xgdyndveurbya,xgdyndveurbya.ru,cryptolocker
dga,gviaiooxcqnmwmx,gviaiooxcqnmwmx.info,cryptolocker
legit,yosoyemprendedor,yosoyemprendedor.com,legit
legit,ibercaja,ibercaja.es,legit
dga,tkaqlrgprkrtrsnjzxpzcrgiwrc,tkaqlrgprkrtrsnjzxpzcrgiwrc.ru,goz
dga,headfell,headfell.net,nivdort
dga,ghbiaglymrviojf,ghbiaglymrviojf.ru,cryptolocker
legit,beautifulshoes,beautifulshoes.org,alexa
legit,40somethingmag,40somethingmag.com,alexa
legit,gogoinflight,gogoinflight.com,alexa
legit,rent,rent.com,alexa
dga,angruwqccgcayt,angruwqccgcayt.ru,cryptolocker
legit,praktiker,praktiker.gr,alexa
legit,gameswithgirls,gameswithgirls.com,alexa
legit,edugeeks,edugeeks.in,alexa
dga,gpkfcckneuvx,gpkfcckneuvx.ru,cryptolocker
dga,cignhyedftoekx,cignhyedftoekx.ru,cryptolocker
dga,withthirteen,withthirteen.net,nivdort
legit,atoananet,atoananet.com.br,alexa
legit,liilas,liilas.com,alexa
dga,fcdyubdhgyhsdxf,fcdyubdhgyhsdxf.org,cryptolocker
dga,rswyhqmcollk,rswyhqmcollk.ru,cryptolocker
legit,sweetpacks,sweetpacks.com,alexa
dga,ewogsphktrrx,ewogsphktrrx.net,cryptolocker
dga,drtpiokpywmfntu,drtpiokpywmfntu.ru,cryptolocker
legit,imanhua,imanhua.com,alexa
dga,m02ts51lf6n6xvrejnm158a347,m02ts51lf6n6xvrejnm158a347.biz,newgoz
dga,wtxacdgykyrybladmej,wtxacdgykyrybladmej.bit,necurs
legit,admimsy,admimsy.com,legit
dga,offerhers,offerhers.net,nivdort
dga,deheqkorlnyemlcehbalpugaebe,deheqkorlnyemlcehbalpugaebe.ru,goz
dga,cpabbojxmmrmfx,cpabbojxmmrmfx.biz,cryptolocker
legit,hergunkarikatur,hergunkarikatur.com,legit
legit,foreclosureindia,foreclosureindia.com,legit
dga,aqohdac,aqohdac.sc,necurs
dga,omeraocdqary,omeraocdqary.ru,cryptolocker
dga,cjxoljojqlbgal,cjxoljojqlbgal.ru,cryptolocker
legit,med1fire,med1fire.net,legit
legit,johnsoncontrols,johnsoncontrols.de,legit
legit,playcast,playcast.ru,alexa
legit,newsflashrajasthan,newsflashrajasthan.com,legit
legit,immopool,immopool.de,legit
dga,hneebbnjiihpp,hneebbnjiihpp.ru,cryptolocker
legit,webitcongress,webitcongress.com,alexa
legit,hdxxxaccess,hdxxxaccess.com,legit
legit,oys,oys.cn,alexa
legit,ing,ing.nl,alexa
dga,1bi49ve6qnpe71cj5r89rk79u7,1bi49ve6qnpe71cj5r89rk79u7.net,gameoverdga
dga,lkuxbjakbbmecys,lkuxbjakbbmecys.ru,cryptolocker
legit,botanical-online,botanical-online.com,legit
